E1228 21:40:32.999487500   17496 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {syscall:"getsockopt(SO_REUSEPORT)", os_error:"Protocol not available", errno:92, created_time:"2022-12-28T21:40:32.9987649+01:00"}
<19, 21:40:40, 0, 19> 
<20, 21:40:40, 0, 20> 
<21, 21:40:40, 0, 21> 
<22, 21:40:40, 0, 22> 
<23, 21:40:40, 0, 23> 
<24, 21:40:40, 0, 24> 
<25, 21:40:40, 0, 25> 
<26, 21:40:40, 0, 26> 
<27, 21:40:40, 0, 27> 
<28, 21:40:40, 0, 28> 
<29, 21:40:40, 0, 29> 
<30, 21:40:40, 0, 30> 
<31, 21:40:40, 0, 31> 
<32, 21:40:40, 0, 32> 
<33, 21:40:40, 0, 33> 
<34, 21:40:40, 0, 34> 
<35, 21:40:40, 0, 35> 
<36, 21:40:40, 0, 36> 
<37, 21:40:40, 0, 37> 
<38, 21:40:40, 0, 38> 
<39, 21:40:40, 0, 39> 
<40, 21:40:40, 0, 40> 
<41, 21:40:40, 0, 41> 
<42, 21:40:40, 0, 42> 
<43, 21:40:40, 0, 43> 
<44, 21:40:40, 0, 44> 
<45, 21:40:40, 0, 45> 
<46, 21:40:40, 0, 46> 
<47, 21:40:40, 0, 47> 
<48, 21:40:40, 0, 48> 
<49, 21:40:40, 0, 49> 
<50, 21:40:40, 0, 50> 
<51, 21:40:40, 0, 51> 
<52, 21:40:40, 0, 52> 
<53, 21:40:40, 0, 53> 
<54, 21:40:40, 0, 54> 
<55, 21:40:40, 0, 55> 
<56, 21:40:40, 0, 56> 
<57, 21:40:40, 0, 57> 
<58, 21:40:40, 0, 58> 
<59, 21:40:40, 0, 59> 
<60, 21:40:40, 0, 60> 
<61, 21:40:40, 0, 61> 
<62, 21:40:40, 0, 62> 
<63, 21:40:40, 0, 63> 
<64, 21:40:40, 0, 64> 
<65, 21:40:40, 0, 65> 
<66, 21:40:40, 0, 66> 
<67, 21:40:40, 0, 67> 
<68, 21:40:40, 0, 68> 
<69, 21:40:40, 0, 69> 
<70, 21:40:40, 0, 70> 
<71, 21:40:40, 0, 71> 
<72, 21:40:40, 0, 72> 
<73, 21:40:40, 0, 73> 
<74, 21:40:40, 0, 74> 
<75, 21:40:40, 0, 75> 
<0, 21:40:40, 0, 0> 
<1, 21:40:40, 0, 1> 
<2, 21:40:40, 0, 2> 
<3, 21:40:40, 0, 3> 
